signe	nom_propose	hpo_id	label_hpo	n	choix	arbitre	verdict_next	nom_next
increased folds of the perioral skin	Increased number of skin folds	HP:0007522	Increased number of skin folds	1	HP:0007522	next:AUTRE Periorbital fullness ?	AUTRE	Periorbital fullness
increased Krebs cycle intermediates	Abnormality of Krebs cycle metabolism	HP:0000816	Abnormality of Krebs cycle metabolism	1	HP:0000816	next:AUTRE Increased circulating Krebs cycle intermediate concentration ?	AUTRE	Increased circulating Krebs cycle intermediate concentration
increased lactate-to-pyruvate ratio	Lactic acidosis	HP:0003128	Lactic acidosis	1	HP:0002151	next:AUTRE Increased lactate-to-pyruvate ratio ?	AUTRE	Increased lactate-to-pyruvate ratio
Increased lens curvature	Increased corneal curvature	HP:0100692	Increased corneal curvature	1	HP:0034375	next:AUTRE Increased lens curvature ?	AUTRE	Increased lens curvature
Increased portal vein diameter	Portal hypertension	HP:0001409	Portal hypertension	1	HP:0001409	next:AUTRE Dilated portal vein ?	AUTRE	Dilated portal vein
Increased risk for malignancy	Neoplasm	HP:0002664	Neoplasm	1	HP:0002664	next:AUTRE Malignant neoplasm ?	AUTRE	Malignant neoplasm
increased signal on FLAIR imaging	Hyperintensity of cerebral white matter on MRI	HP:0030890	Hyperintensity of cerebral white matter on MRI	1	HP:0030890	next:AUTRE Hyperintensity of the hippocampus on MRI ?	AUTRE	Hyperintensity of the hippocampus on MRI
Increased urinary excretion of electrolytes	Polyuria	HP:0000103	Polyuria	1	HP:0000124	next:AUTRE Renal tubular dysfunction ?	AUTRE	Renal tubular dysfunction
Indentation of the vermilion of the upper lip resembling a ginkgo leaf	Upper lip pit	HP:0100268	Upper lip pit	1	PARENT:HP:0000177	next:AUTRE Thin upper lip vermilion ?	AUTRE	Thin upper lip vermilion
Induration and edema of subcutaneous tissue	Edema	HP:0000969	Edema	1	HP:0000969	next:AUTRE Subcutaneous induration ?	AUTRE	Subcutaneous induration
Inequality of limb length	Abnormal limb bone morphology	HP:0002813	Abnormal limb bone morphology	1	HP:0100559	next:AUTRE Asymmetry of the limbs ?	AUTRE	Asymmetry of the limbs
infections	Recurrent infections	HP:0002719	Recurrent infections	1	HP:0002719	next:AUTRE Recurrent infections ?	AUTRE	Recurrent infections
Infertility and/or recurrent fetal loss	Infertility	HP:0000789	Infertility	1	HP:0000789+HP:0200067	next:AUTRE Recurrent miscarriage ?	AUTRE	Recurrent miscarriage
Inflammatory bowel disease-like illness	Autoimmunity	HP:0002960	Autoimmunity	1	HP:0002037	next:AUTRE Inflammatory bowel disease ?	AUTRE	Inflammatory bowel disease
Infra-acetabular axe-cut notches	Abnormal acetabulum morphology	HP:0003170	Abnormal acetabulum morphology	1	NON	next:AUTRE Infra-acetabular notch ?	AUTRE	Infra-acetabular notch
infraorbital fullness	Periorbital fullness	HP:0000629	Periorbital fullness	1	HP:0000629	next:AUTRE Infraorbital fullness ?	AUTRE	Infraorbital fullness
Interstitial cell hyperplasia, gonads	Hyperplasia of the Leydig cells	HP:0010791	Hyperplasia of the Leydig cells	1	HP:0010791	next:AUTRE Hyperplasia of the interstitial cells of the gonads ?	AUTRE	Hyperplasia of the interstitial cells of the gonads
intestinal deposits	Abnormality of the intestine	HP:0002242	Abnormal intestine morphology	1	HP:0011034	next:AUTRE Amyloidosis ?	AUTRE	Amyloidosis
Intestinal myofibromata/smooth muscle hamartomas	Hamartoma	HP:0010566	Hamartoma	1	HP:0010566	next:AUTRE Intestinal hamartoma ?	AUTRE	Intestinal hamartoma
Intestinal necrosis	Abnormal intestine morphology	HP:0002242	Abnormal intestine morphology	1	PARENT:HP:0002242	next:AUTRE Intestinal necrosis ?	AUTRE	Intestinal necrosis
Intimal thickening in the coronary vessels	Coronary artery stenosis	HP:0005145	Coronary artery stenosis	1	HP:0005292	next:AUTRE Coronary artery intimal thickening ?	AUTRE	Coronary artery intimal thickening
Intra ocular calcification	Ectopic calcification	HP:0010766	Ectopic calcification	1	HP:0010766	next:AUTRE Intraocular calcification ?	AUTRE	Intraocular calcification
Intracerebral aneurysm	Vascular dilatation	HP:0002617	Vascular dilatation	1	PARENT:HP:0009145	next:AUTRE Intracranial aneurysm ?	AUTRE	Intracranial aneurysm
intracerebral cysts	Hypodontia	HP:0000668	Hypodontia	1	HP:0030724	next:AUTRE Intracranial cyst ?	AUTRE	Intracranial cyst
intracorneal lens	Lens dislocation	HP:0001083	Ectopia lentis	1	PARENT:HP:0000517	next:AUTRE Corneal lens ?	AUTRE	Corneal lens
Intrahepatic hemorrhage	Abnormal bleeding	HP:0001892	Abnormal bleeding	1	HP:0001892	next:AUTRE Hepatic hemorrhage ?	AUTRE	Hepatic hemorrhage
Intraoral fibromas	Fibroma	HP:0010614	Fibroma	1	HP:0010614	next:AUTRE Oral fibroma ?	AUTRE	Oral fibroma
involuntary tongue protrusion on attempted swallowing	Tongue protrusion	HP:0010808	Protruding tongue	1	HP:0002310	next:AUTRE Orofacial dyskinesia ?	AUTRE	Orofacial dyskinesia
Involvement of the long bones and pelvis	Abnormal long bone morphology	HP:0011314	Abnormal long bone morphology	1	PARENT:HP:0011842	next:AUTRE Abnormality of the skeletal system ?	AUTRE	Abnormality of the skeletal system
Iris dysgenesis	Iris hypoplasia	HP:0007676	Hypoplasia of the iris	1	PARENT:HP:0000525	next:AUTRE Abnormality of the iris ?	AUTRE	Abnormality of the iris
iron accumulation in both the globus pallidus and substantia nigra	Basal ganglia calcification	HP:0002135	Basal ganglia calcification	1	HP:0012675+HP:0012678	next:AUTRE Iron accumulation in basal ganglia ?	AUTRE	Iron accumulation in basal ganglia
Irregular articular surfaces of the tubular bones	Abnormality of long bone morphology	HP:0011314	Abnormal long bone morphology	1	HP:0010582	next:AUTRE Abnormality of the epiphysis ?	AUTRE	Abnormality of the epiphysis
Irregular calcifications in epiphyses	Epiphyseal dysplasia	HP:0002656	Epiphyseal dysplasia	1	HP:0010655	next:AUTRE Irregular epiphyseal ossification ?	AUTRE	Irregular epiphyseal ossification
Irregular endplates of metaphyses	Irregular vertebral endplates	HP:0003301	Irregular vertebral endplates	1	HP:0003025	next:AUTRE Irregular metaphyseal endplates ?	AUTRE	Irregular metaphyseal endplates
Irregular ossification at the ischiopubic junction	Abnormal ischium morphology	HP:0003174	Abnormal ischium morphology	1	PARENT:HP:0003174	next:AUTRE Delayed ossification of the ischiopubic ramus ?	AUTRE	Delayed ossification of the ischiopubic ramus
irregular ossification of the vertebral bodies	Irregular vertebral endplates	HP:0003301	Irregular vertebral endplates	1	HP:0004582	next:AUTRE Irregular vertebral endplates ?	AUTRE	Irregular vertebral endplates
Ischemic injury to the kidney	Acute kidney injury	HP:0001919	Acute kidney injury	1	NON	next:AUTRE Renal ischemia ?	AUTRE	Renal ischemia
isolated upper limb dystonia	Dystonia	HP:0001332	Dystonia	1	HP:0002451	next:AUTRE Upper limb dystonia ?	AUTRE	Upper limb dystonia
issues with learning	Intellectual disability	HP:0001249	Intellectual disability	1	HP:0001328	next:AUTRE Learning disability ?	AUTRE	Learning disability
issues with speech	Abnormal speech pattern	HP:0002167	Abnormal speech pattern	1	HP:0002167	next:AUTRE Abnormal speech prosody ?	AUTRE	Abnormal speech prosody
jaw tremor	Tremor	HP:0001337	Tremor	1	HP:0001337	next:AUTRE Jaw tremor ?	AUTRE	Jaw tremor
Joint space narrowing	Abnormal joint morphology	HP:0001367	Abnormal joint morphology	1	PARENT:HP:0001367	next:AUTRE Narrowed joint space ?	AUTRE	Narrowed joint space
Jowly double-chinned appearance	Full cheeks	HP:0000293	Full cheeks	1	NON	next:AUTRE Double chin ?	AUTRE	Double chin
Lack of coordination in chewing	Dysphagia	HP:0002015	Dysphagia	1	HP:0005216	next:AUTRE Dysphagia ?	AUTRE	Dysphagia
Lack of ethmoid bone	Aplasia/Hypoplasia of facial bones	HP:0034261	Aplasia/Hypoplasia of facial bones	1	PARENT:HP:0430005	next:AUTRE Absent ethmoid bone ?	AUTRE	Absent ethmoid bone
Lack of expressive movement	Hypokinesia	HP:0002375	Hypokinesia	1	HP:0000298	next:AUTRE Abnormality of voluntary movement ?	AUTRE	Abnormality of voluntary movement
Lack of formation of nasal tip	Hypoplastic nasal tip	HP:0005278	Hypoplastic nasal tip	1	PARENT:HP:0000436	next:AUTRE Absent nasal tip ?	AUTRE	Absent nasal tip
Lack of fusion of odontoid with body of C2	Odontoid hypoplasia	HP:0003311	Hypoplasia of the odontoid process	1	PARENT:HP:0003310	next:AUTRE Non-fused odontoid process ?	AUTRE	Non-fused odontoid process
Lack of normal modeling in metaphyseal regions	Abnormal metaphysis morphology	HP:0000944	Abnormal metaphysis morphology	1	PARENT:HP:0000944	next:AUTRE Hypoplasia of the distal phalanges of the great toes ?	AUTRE	Hypoplasia of the distal phalanges of the great toes
Lack of purposeful hand movements	Impaired fine motor skills	HP:0007010	Poor fine motor coordination	1	HP:0032588	next:AUTRE Absence of purposeful hand use ?	AUTRE	Absence of purposeful hand use
lack of satiation	Hyperphagia	HP:0002591	Polyphagia	1	HP:0002591	next:AUTRE Lack of satiety ?	AUTRE	Lack of satiety
Lack of visual following	Visual impairment	HP:0000505	Visual impairment	1	HP:0025404	next:AUTRE Absence of visual fixation ?	AUTRE	Absence of visual fixation
Lacrimal sac fistula	Abnormal lacrimal sac morphology	HP:3000066	Abnormal lacrimal sac morphology	1	PARENT:HP:3000066	next:AUTRE Lacrimal sac fistula ?	AUTRE	Lacrimal sac fistula
lactic aciduria	Lactic acidosis	HP:0003128	Lactic acidosis	1	HP:0012072	next:AUTRE Lactic aciduria ?	AUTRE	Lactic aciduria
Lacunar skull	Abnormal skull morphology	HP:0000929	Abnormal skull morphology	1	PARENT:HP:0002683	next:AUTRE Craniolacunia ?	AUTRE	Craniolacunia
language regression	Language delay	HP:0000750	Delayed speech and language development	1	HP:0002376	next:AUTRE Language regression ?	AUTRE	Language regression
Large and wide odontoid	Odontoid hypoplasia	HP:0003311	Hypoplasia of the odontoid process	1	PARENT:HP:0003310	next:AUTRE Hypertrophy of the odontoid process ?	AUTRE	Hypertrophy of the odontoid process
Large central incisors	Macrodontia of permanent maxillary central incisor	HP:0000675	Macrodontia of permanent maxillary central incisor	1	HP:0011081	next:AUTRE Macrodontia ?	AUTRE	Macrodontia
large distal end of the fibula	Flared distal fibular metaphysis	HP:0030309	Flared distal fibular metaphysis	1	PARENT:HP:0010595	next:AUTRE Enlarged distal fibular epiphysis ?	AUTRE	Enlarged distal fibular epiphysis
large floppy ears	Large ears	HP:0000400	Macrotia	1	HP:0000400	next:AUTRE Floppy ears ?	AUTRE	Floppy ears
Large goose eggs from minor head bumps	Subcutaneous hemorrhage	HP:0001933	Subcutaneous hemorrhage	1	HP:0001933	next:AUTRE Hematoma ?	AUTRE	Hematoma
large pseudoepiphyses of the metatarsals	Abnormal metatarsal epiphysis morphology	HP:0010630	Abnormal metatarsal epiphysis morphology	1	PARENT:HP:0010630	next:AUTRE Pseudoepiphyses of foot bones ?	AUTRE	Pseudoepiphyses of foot bones
Large triquetrum	Large carpal bones	HP:0004237	Large carpal bones	1	HP:0004237	next:AUTRE Enlarged triquetrum ?	AUTRE	Enlarged triquetrum
Large, floppy ears	Large ears	HP:0000400	Macrotia	1	HP:0000400	next:AUTRE Floppy ears ?	AUTRE	Floppy ears
Large, round capital femoral epiphyses	Abnormal femoral head morphology	HP:0003368	Abnormal femoral head morphology	1	PARENT:HP:0003368	next:AUTRE Round femoral head ?	AUTRE	Round femoral head
Large-caliber veins below the knees	Varicose veins	HP:0002619	Varicose veins	1	PARENT:HP:0002624	next:AUTRE Abnormality of the venous system ?	AUTRE	Abnormality of the venous system
Laryngeal and breathing disorders including apnea	Sleep apnea	HP:0010535	Sleep apnea	1	HP:0002104	next:AUTRE Abnormality of the respiratory system ?	AUTRE	Abnormality of the respiratory system
Laryngeal dysfunction	Laryngeal paralysis	HP:0001605	Vocal cord paralysis	1	HP:0001605	next:AUTRE Abnormality of the larynx ?	AUTRE	Abnormality of the larynx
laryngeal hypotonia	Hypotonia	HP:0001252	Hypotonia	1	PARENT:HP:0001600	next:AUTRE Abnormality of the larynx ?	AUTRE	Abnormality of the larynx
Laryngeal inflammation	Laryngitis	HP:0033000	Subglottic laryngitis	1	PARENT:HP:0001600	next:AUTRE Abnormality of the larynx ?	AUTRE	Abnormality of the larynx
laryngeal involvement	Laryngeal paralysis	HP:0001605	Vocal cord paralysis	1	HP:0012049	next:AUTRE Abnormality of the larynx ?	AUTRE	Abnormality of the larynx
Lateral displacement of capital femoral epiphyses	Slipped capital femoral epiphysis	HP:0006461	Proximal femoral epiphysiolysis	1	HP:0006453	next:AUTRE Lateral displacement of the capital femoral epiphysis ?	AUTRE	Lateral displacement of the capital femoral epiphysis
lateral extension of the acetabular roof	Abnormality of the acetabulum	HP:0003170	Abnormal acetabulum morphology	1	PARENT:HP:0003170	next:AUTRE Lateral acetabular roof extension ?	AUTRE	Lateral acetabular roof extension
Lateral lacrimal dystopia	Telecanthus	HP:0000506	Telecanthus	1	PARENT:HP:0011481	next:AUTRE Lacrimal duct obstruction ?	AUTRE	Lacrimal duct obstruction
lateral notching of proximal femoral ossification centers	Abnormality of the proximal femoral epiphysis	HP:0010574	Abnormality of the epiphysis of the femoral head	1	PARENT:HP:0010574	next:AUTRE Notching of the femoral neck ?	AUTRE	Notching of the femoral neck
lateral slant of the ankle joints	Abnormality of the ankle	HP:0003028	Abnormality of the ankle	1	PARENT:HP:0003028	next:AUTRE Tibial bowing ?	AUTRE	Tibial bowing
Lateral spurs that frequently fracture	Recurrent long bone fractures	HP:0003084	Recurrent long bone fractures	1	HP:0005054	next:AUTRE Metaphyseal spurs ?	AUTRE	Metaphyseal spurs
Lateral ventricle enlargement	Ventriculomegaly	HP:0002119	Ventriculomegaly	1	HP:0006956	next:AUTRE Lateral ventriculomegaly ?	AUTRE	Lateral ventriculomegaly
Laterality defect	Laterality	HP:0012831	Laterality	1	HP:0030853	next:AUTRE Abnormality of laterality ?	AUTRE	Abnormality of laterality
laterally located epiphysis	Abnormal limb epiphysis morphology	HP:0006505	Abnormal limb epiphysis morphology	1	PARENT:HP:0006508	next:AUTRE Abnormality of the tibial epiphysis ?	AUTRE	Abnormality of the tibial epiphysis
learning and language difficulties	Specific learning disability	HP:0001328	Specific learning disability	1	HP:0001328+HP:0002463	next:AUTRE Learning disability ?	AUTRE	Learning disability
Learning and speech disorders	Intellectual disability	HP:0001249	Intellectual disability	1	HP:0001328+HP:0002167	next:AUTRE Learning disability ?	AUTRE	Learning disability
Learning defects	Intellectual disability	HP:0001249	Intellectual disability	1	HP:0001328	next:AUTRE Learning disability ?	AUTRE	Learning disability
learning deficits	Intellectual disability	HP:0001249	Intellectual disability	1	HP:0001328	next:AUTRE Learning disability ?	AUTRE	Learning disability
learning differences	Specific learning disability	HP:0001328	Specific learning disability	1	HP:0001328	next:AUTRE Learning disability ?	AUTRE	Learning disability
learning problems	Specific learning disability	HP:0001328	Specific learning disability	1	HP:0001328	next:AUTRE Learning disability ?	AUTRE	Learning disability
Leg ulcers	Abnormality of the lower limb	HP:0002814	Abnormality of the lower limb	1	HP:0200042	next:AUTRE Leg ulcer ?	AUTRE	Leg ulcer
Legg-Calvé-Perthes-like changes in the hips	Abnormal hip bone morphology	HP:0003272	Abnormal hip bone morphology	1	HP:0005743	next:AUTRE Legg-Calve-Perthes disease ?	AUTRE	Legg-Calve-Perthes disease
leiomyomas	Diffuse leiomyomatosis	HP:0006756	Diffuse leiomyomatosis	1	NON	next:AUTRE Leiomyoma ?	AUTRE	Leiomyoma
Leptomeningeal melanoma	Melanoma	HP:0002861	Melanoma	1	HP:0002861	next:AUTRE Leptomeningeal melanocytosis ?	AUTRE	Leptomeningeal melanocytosis
limb asymmetry	Hemihypertrophy	HP:0001528	Hemihypertrophy	1	PARENT:HP:0040064	next:AUTRE Asymmetry of the limbs ?	AUTRE	Asymmetry of the limbs
Limb atrophy	Generalized limb muscle atrophy	HP:0009055	Generalized limb muscle atrophy	1	HP:0009055	next:AUTRE Muscle atrophy of the limbs ?	AUTRE	Muscle atrophy of the limbs
Limb discrepancy	Abnormality of limbs	HP:0040064	Abnormality of limbs	1	HP:0100559	next:AUTRE Limb length discrepancy ?	AUTRE	Limb length discrepancy
Limb overgrowth	Overgrowth	HP:0001548	Overgrowth	1	HP:0001548	next:AUTRE Overgrowth of limbs ?	AUTRE	Overgrowth of limbs
Limb paralysis	Paralysis	HP:0003470	Paralysis	1	HP:0003470	next:AUTRE Paralysis of the limbs ?	AUTRE	Paralysis of the limbs
Limb swelling	Abnormality of limbs	HP:0040064	Abnormality of limbs	1	NON	next:AUTRE Swollen limbs ?	AUTRE	Swollen limbs
Limited extension of the fingers	Extension contracture of finger	HP:0034682	Extension contracture of finger	1	HP:0034682	next:AUTRE Limited finger extension ?	AUTRE	Limited finger extension
Limited purposeful hand use	Impaired fine motor skills	HP:0007010	Poor fine motor coordination	1	HP:0032588	next:AUTRE Abnormality of hand motor function ?	AUTRE	Abnormality of hand motor function
Limited-to-no speech	Absent speech	HP:0001344	Absent speech	1	HP:0001344	next:AUTRE Absent speech ?	AUTRE	Absent speech
Limping gait	Abnormal gait	HP:0001288	Gait disturbance	1	HP:0001288	next:AUTRE Antalgic gait ?	AUTRE	Antalgic gait
Linear and asymmetric distribution of skin lesions	Asymmetric, linear skin defects	HP:0007398	Asymmetric, linear skin defects	1	HP:0007398	next:AUTRE Blaschkoid skin lesions ?	AUTRE	Blaschkoid skin lesions
linear hypopigmentation	Hypopigmentation	HP:0001010	Hypopigmentation of the skin	1	HP:0007535	next:AUTRE Blaschkoid skin lesions ?	AUTRE	Blaschkoid skin lesions
Linear or whorled atrophic and pigmentary skin lesions	Hypopigmentation	HP:0001010	Hypopigmentation of the skin	1	HP:0007398	next:AUTRE Blaschkoid skin lesions ?	AUTRE	Blaschkoid skin lesions
linear verrucous epidermal nevi	Epidermal nevus	HP:0010816	Epidermal nevus	1	HP:0034275	next:AUTRE Verrucous epidermal nevus ?	AUTRE	Verrucous epidermal nevus
lingual papillomatosis	Abnormal tongue morphology	HP:0030809	Abnormal tongue morphology	1	PARENT:HP:0000157	next:AUTRE Papillomatosis of the tongue ?	AUTRE	Papillomatosis of the tongue
lipoma of quadrigeminal plate	Lipoma	HP:0012032	Lipoma	1	HP:0012032	next:AUTRE Intracranial lipoma ?	AUTRE	Intracranial lipoma
Lipomastia	Gynecomastia	HP:0000771	Gynecomastia	1	HP:0000771	next:AUTRE Pseudogynecomastia ?	AUTRE	Pseudogynecomastia
Lipomata at lateral border of feet	Lipoma	HP:0012032	Lipoma	1	HP:0001031	next:AUTRE Plantar lipoma ?	AUTRE	Plantar lipoma
Lipomatous overgrowth	Overgrowth	HP:0001548	Overgrowth	1	HP:0001548	next:AUTRE Lipomatous overgrowth ?	AUTRE	Lipomatous overgrowth
Liver hematoma	Abnormal liver morphology	HP:0410042	Abnormal liver morphology	1	NON	next:AUTRE Hepatic hematoma ?	AUTRE	Hepatic hematoma
Liver impairment	Abnormality of the liver	HP:0001392	Abnormality of the liver	1	HP:0034685	next:AUTRE Abnormal liver enzyme concentration ?	AUTRE	Abnormal liver enzyme concentration
Liver lobe hypertrophy	Hepatomegaly	HP:0002240	Hepatomegaly	1	HP:0002240	next:AUTRE Hepatic lobe hypertrophy ?	AUTRE	Hepatic lobe hypertrophy
Livid red hyperpigmentation over bony prominences	Irregular hyperpigmentation	HP:0007400	Irregular hyperpigmentation	1	HP:0000953	next:AUTRE Hyperpigmented macule ?	AUTRE	Hyperpigmented macule
longest second finger	Long fingers	HP:0100807	Long fingers	1	NON	next:AUTRE Long second finger ?	AUTRE	Long second finger
Loss of alpha rhythm	Abnormal EEG	HP:0002353	EEG abnormality	1	HP:0031518	next:AUTRE Abnormal EEG background activity ?	AUTRE	Abnormal EEG background activity
Loss of bone trabeculae	Osteopenia	HP:0000938	Osteopenia	1	HP:0100671	next:AUTRE Absent trabecular bone ?	AUTRE	Absent trabecular bone
Loss of cerebral sulci	Abnormal cerebral morphology	HP:0002060	Abnormal cerebral morphology	1	PARENT:HP:0002536	next:AUTRE Absent cerebral sulci ?	AUTRE	Absent cerebral sulci
Loss of collagen VI matrix deposition	Reduced muscle collagen VI	HP:0030095	Reduced muscle collagen VI	1	HP:0030095	next:AUTRE Absent collagen VI ?	AUTRE	Absent collagen VI
Loss of function of extremities	Muscle weakness	HP:0001324	Muscle weakness	1	NON	next:AUTRE Abnormality of the extremities ?	AUTRE	Abnormality of the extremities
Loss of iris crypts	Abnormality iris morphology	HP:0000525	Abnormality iris morphology	1	PARENT:HP:0000525	next:AUTRE Absent iris crypts ?	AUTRE	Absent iris crypts
Loss of the tongue tip	Abnormal tongue morphology	HP:0030809	Abnormal tongue morphology	1	NON	next:AUTRE Amputation of tongue ?	AUTRE	Amputation of tongue
Loss of voluntary movement	Diminished movement	HP:0002374	Diminished movement	1	HP:0002374	next:AUTRE Loss of voluntary movement ?	AUTRE	Loss of voluntary movement
Low acetabular angle	Steep acetabular roof	HP:0010455	Steep acetabular roof	1	HP:0003180	next:AUTRE Shallow acetabular roof ?	AUTRE	Shallow acetabular roof
Low cationic amino acid concentrations	Abnormal circulating amino acid concentration	HP:0003112	Abnormal circulating amino acid concentration	1	HP:0003112	next:AUTRE Decreased circulating lysine concentration ?	AUTRE	Decreased circulating lysine concentration
low dentate signal	Abnormality of the dentate nucleus	HP:0100321	Abnormal dentate nucleus morphology	1	PARENT:HP:0100321	next:AUTRE Abnormal dentate nucleus signal intensity ?	AUTRE	Abnormal dentate nucleus signal intensity
Low dermal ridge count	Abnormal palmar dermal ridges	HP:0007608	Abnormal palmar dermal ridges	1	HP:0007608	next:AUTRE Decreased palmar dermatoglyphic ridge count ?	AUTRE	Decreased palmar dermatoglyphic ridge count
Low erythrocyte folate concentration	Abnormal erythrocyte metabolite concentration	HP:0034737	Abnormal erythrocyte metabolite concentration	1	HP:0100507	next:AUTRE Decreased erythrocyte folate concentration ?	AUTRE	Decreased erythrocyte folate concentration
Low levels of growth hormone	Reduced circulating growth hormone concentration	HP:0034323	Reduced circulating growth hormone concentration	1	HP:0034323+HP:0030344	next:AUTRE Decreased circulating luteinizing hormone concentration ?	AUTRE	Decreased circulating luteinizing hormone concentration
Low origin of pulmonary arteries	Abnormal pulmonary artery morphology	HP:0030966	Abnormal pulmonary artery morphology	1	PARENT:HP:0030966	next:AUTRE Abnormal origin of the pulmonary artery ?	AUTRE	Abnormal origin of the pulmonary artery
low protein C	Reduced protein C activity	HP:0005543	Reduced protein C activity	1	HP:0005543	next:AUTRE Decreased circulating protein C concentration ?	AUTRE	Decreased circulating protein C concentration
low serum concentration of factors IX and XI	Decreased prothrombin time	HP:0032198	Decreased prothrombin time	1	HP:0011858	next:AUTRE Decreased factor IX activity ?	AUTRE	Decreased factor IX activity
low serum concentrations of the pancreatic enzymes trypsinogen and/or isoamylase	Diminished circulating cationic trypsinogen concentration	HP:6000968	Diminished circulating cationic trypsinogen concentration	1	HP:6000968	next:AUTRE Decreased circulating trypsinogen concentration ?	AUTRE	Decreased circulating trypsinogen concentration
Lower esophageal sphincter hypertonia	Hypertonia	HP:0001276	Hypertonia	1	PARENT:HP:0025270	next:AUTRE Esophageal sphincter hypertonia ?	AUTRE	Esophageal sphincter hypertonia
Lucent lesions	Osteolysis	HP:0002797	Osteolysis	1	HP:0002797	next:AUTRE Osteolytic lesion ?	AUTRE	Osteolytic lesion
Lumbarization of sacrum	Abnormal sacrum morphology	HP:0005107	Abnormal sacrum morphology	1	PARENT:HP:0005107	next:AUTRE Lumbarization of sacral vertebra ?	AUTRE	Lumbarization of sacral vertebra
Lung hernia	Hernia	HP:0100790	Hernia	1	PARENT:HP:0002088	next:AUTRE Lung hernia ?	AUTRE	Lung hernia
Lupus-like rash	Malar rash	HP:0025300	Malar rash	1	HP:0000988	next:AUTRE Lupus-like rash ?	AUTRE	Lupus-like rash
Lymphangiomyomas	Lymphangioma	HP:0100764	Lymphangioma	1	NON	next:AUTRE Lymphangiomyoma ?	AUTRE	Lymphangiomyoma
Lymphatic malformations	Abnormality of the lymphatic system	HP:0100763	Abnormality of the lymphatic system	1	HP:0100764	next:AUTRE Lymphatic malformation ?	AUTRE	Lymphatic malformation
Lymphoid and Reticular Hyperplasia	Lymphoid hyperplasia	HP:0034839	Lymphoid hyperplasia	1	HP:0034839	next:AUTRE Lymphoid hyperplasia ?	AUTRE	Lymphoid hyperplasia
macrophthalmia	Buphthalmos	HP:0000557	Buphthalmos	1	HP:0000557	next:AUTRE Macrophthalmia ?	AUTRE	Macrophthalmia
Macules around the nostrils	Hypermelanotic macule	HP:0001034	Hypermelanotic macule	1	HP:0001034	next:AUTRE Perinasal hyperpigmentation ?	AUTRE	Perinasal hyperpigmentation
Macules at other sites	Macules	HP:0001034	Hypermelanotic macule	1	HP:0001034	next:AUTRE Hyperpigmented macule ?	AUTRE	Hyperpigmented macule
Macules in the perianal area	Macule	HP:0012733	Macule	1	HP:0001034	next:AUTRE Perianal hyperpigmentation ?	AUTRE	Perianal hyperpigmentation
Macules on digits	Macules	HP:0001034	Hypermelanotic macule	1	HP:0001034	next:AUTRE Hyperpigmented macule of the fingers ?	AUTRE	Hyperpigmented macule of the fingers
Maculopapular nevi around the scalp, face, neck, upper trunk, and upper limbs	Nevus	HP:0003764	Nevus	1	HP:0001054	next:AUTRE Multiple nevi ?	AUTRE	Multiple nevi
Malar flush	Flushing	HP:0031284	Flushing	1	HP:0031284	next:AUTRE Malar flush ?	AUTRE	Malar flush
maldevelopment of inferior olivary and cerebellar dentate nuclei	Abnormality of the dentate nucleus	HP:0100321	Abnormal dentate nucleus morphology	1	HP:0100321	next:AUTRE Abnormality of the inferior olivary nucleus ?	AUTRE	Abnormality of the inferior olivary nucleus
Malformation and/or gray matter heterotopia of the mesial temporal structures	Gray matter heterotopia	HP:0002282	Gray matter heterotopia	1	HP:0002282	next:AUTRE Heterotopia of the hippocampus ?	AUTRE	Heterotopia of the hippocampus
Malignant arrhythmias	Ventricular tachycardia	HP:0004756	Ventricular tachycardia	1	PARENT:HP:0011675	next:AUTRE Ventricular fibrillation ?	AUTRE	Ventricular fibrillation
Malignant solid tumors	Neoplasm	HP:0002664	Neoplasm	1	HP:0002664	next:AUTRE Malignant neoplasm ?	AUTRE	Malignant neoplasm
Malignant tumors	Neoplasm	HP:0002664	Neoplasm	1	HP:0002664	next:AUTRE Malignant neoplasm ?	AUTRE	Malignant neoplasm
Mammary fibroadenosis	Fibroadenoma of the breast	HP:0010619	Fibroadenoma of the breast	1	HP:6000896	next:AUTRE Fibrocystic breast disease ?	AUTRE	Fibrocystic breast disease
Marfanoid facial features	Marfanoid habitus	HP:0001519	Disproportionate tall stature	1	NON	next:AUTRE Marfanoid facial features ?	AUTRE	Marfanoid facial features
Marked laxity of the abdominal muscles	Abdominal wall muscle weakness	HP:0009023	Abdominal wall muscle weakness	1	HP:0009023	next:AUTRE Abdominal wall laxity ?	AUTRE	Abdominal wall laxity
Mast cell activation disorders and immune deficiency	Immunodeficiency	HP:0002721	Immunodeficiency	1	HP:0002721	next:AUTRE Mast cell activation syndrome ?	AUTRE	Mast cell activation syndrome
Mean birth length 45 cm	Birth length less than 3rd percentile	HP:0003561	Birth length less than 3rd percentile	1	HP:0003561	next:AUTRE Short birth length ?	AUTRE	Short birth length
Medial and lateral spurs	Abnormal vertebral morphology	HP:0003468	Abnormal vertebral morphology	1	PARENT:HP:0002867	next:AUTRE Iliac spur ?	AUTRE	Iliac spur
Medial spur of tibial metaphysis	Abnormal tibial metaphysis morphology	HP:0006491	Abnormal tibial metaphysis morphology	1	HP:0031173	next:AUTRE Medial tibial spur ?	AUTRE	Medial tibial spur
