signe_livre	occurrences	region	candidat_hpo	label_hpo	portee_proposee	definition_hpo	commentaire_hpo	decision	motif
callus formation	2	limbs	HP:0030268	Hyperplastic callus formation	NAME (j=0.67)	Increased growth of callus, the bony and cartilaginous material that forms a connecting bridge across a bone fracture during fracture healing.			
signs of increased intracranial pressure	2	neuro	HP:0002516	Increased intracranial pressure	NAME (j=0.75)	An increase of the pressure inside the cranium (skull) and thereby in the brain tissue and cerebrospinal fluid.	Normal values of intracranial pressure in adults are around 7-15 mm Hg in the supine position. The term pseudotumor cerebri (also: idiopathic intracranial hypertension or benign intracranial hypertens		
intracerebral calcifications	2	neuro	HP:0005671	Bilateral intracerebral calcifications	NAME (j=0.67)	Deposition of calcium salts on both sides of the cerebrum.			
sexual precocity	2	other							
angiomata	2	skin							
shepherd s crook deformity	2	skeletal							
hemorrhage	2	other	HP:0000225	Gingival bleeding	EXACT (j=0.50)	Hemorrhage affecting the gingiva.			
broad depressed nasal bridge	2	craniofacial	HP:0000431	Wide nasal bridge	EXACT (j=0.75)	Increased breadth of the nasal bridge (and with it, the nasal root).	Care should be taken to distinguish between increased width of bone and Fullness of paranasal tissue. A wide nasal bridge should be distinguished from Telecanthus and Hypertelorism. A wide nasal bridg		
electroencephalograph abnormalities	2	neuro							
difficulty opening mouth	2	mouth	HP:0000211	Trismus	EXACT (j=0.50)	Limitation in the ability to open the mouth.			
iris defects	2	eyes	HP:0012805	Iris transillumination defect	NAME (j=0.67)	Transmission of light through the iris as visualized upon slit lamp examination or infrared iris transillumination videography. The light passes through defects in the pigmentation of the iris.	Initially, transillumination defects are usually slit-like, but if pigment loss increases, the defects may be become larger and irregularly shaped.		
iliac flaring	2	skeletal							
agenesis hypoplasia of corpus callosum	2	neuro	HP:0001274	Agenesis of corpus callosum	NAME (j=0.75)	Absence of the corpus callosum as a result of the failure of the corpus callosum to develop, which can be the result of a failure in any one of the multiple steps of callosal development including cellular proliferation and migration, axonal growth or glial patterning at the midline.			
ligamentous hyperlaxity	2	other							
moderately enlarged broad skull	2	craniofacial	HP:0002682	Broad skull	NAME (j=0.50)	Increased width of the skull.			
frontonasal overgrowth	2	craniofacial	HP:0001548	Overgrowth	NAME (j=0.50)	Excessive postnatal growth which may comprise increased weight, increased length, and/or increased head circumference.			
elevated serum alkaline phosphatase	2	other	HP:0003155	Elevated circulating alkaline phosphatase concentration	EXACT (j=0.75)	Abnormally increased serum levels of alkaline phosphatase activity.			
generalized demineralization	2	skeletal	HP:0006462	Generalized bone demineralization	NAME (j=0.67)	A generalized decrease in bone mineral density.	The terms Osteopenia or Osteoporosis should be preferred to this term, which may be obsoleted in the future.		
short femora	2	limbs							
broad metaphyses	2	limbs	HP:0006413	Broad tibial metaphyses	NAME (j=0.67)				
mild to moderate platyspondyly	2	skeletal							
irregular vertebral end plates	2	skeletal	HP:0003301	Irregular vertebral endplates	EXACT (j=0.75)	An irregular surface of the vertebral end plates, which are normally relatively smooth.			
psychomotor retardation	2	neuro	HP:0011342	Mild global developmental delay	EXACT (j=0.67)	A mild delay in the achievement of motor or mental milestones in the domains of development of a child.			
hypoplasia of the basilar portions of the ilia	2	skeletal							
macrocranium	2	craniofacial							
short trunk with prominent abdomen	2	thorax							
absent or severely retarded ossification of the vertebral bodies and sacrum	2	skeletal	HP:0005885	Absent ossification of cervical vertebral bodies	NAME (j=0.50)	A lack of bone mineralization of one or more body of cervical vertebra.			
squared vertebral bodies	2	skeletal	HP:0000926	Platyspondyly	EXACT (j=0.50)	A flattened vertebral body shape with reduced distance between the vertebral endplates.			
narrow upper thoracic inlet	2	thorax							
elongated proximal fibulae	2	limbs							
broad ilia	2	skeletal							
short great toe	2	limbs	HP:0001831	Short toe	NAME (j=0.67)	A toe that appears disproportionately short compared to the foot.	This finding must be distinguished from digits that are of increased girth but of normal length and that of a long mid- and hind foot with normal digit lengths. The affected digits should be specified		
shortening of phalanges and metatarsals of the great toe	2	limbs	HP:0005035	Shortening of all phalanges of the toes	NAME (j=0.50)	Developmental hypoplasia (shortening) of all phalanges of the foot.			
small ilia with lack of normal flare	2	skeletal							
craniofacial abnormalities	2	craniofacial	HP:0004484	Craniofacial asymmetry	EXACT (j=0.67)	Asymmetry of the bones of the skull and the face.			
hypoplasia of the facial bones	2	craniofacial	HP:0034261	Aplasia/Hypoplasia of facial bones	NAME (j=0.75)	A developmental defect characterized by absence or underdevelopment of one or more facial bone.			
foreshortened vertebral bodies	2	skeletal	HP:0000926	Platyspondyly	EXACT (j=0.50)	A flattened vertebral body shape with reduced distance between the vertebral endplates.			
short horizontally oriented ribs	2	thorax	HP:0000773	Short ribs	NAME (j=0.50)	Reduced rib length.			
inguinal herniae	2	abdomen							
fetal hydrops	2	other	HP:0001790	Nonimmune hydrops fetalis	EXACT (j=0.67)	A type of hydrops fetalis in which there is no identifiable circulating antibody to red blood cell antigens .			
short thick ribs	2	thorax	HP:0000773	Short ribs	NAME (j=0.67)	Reduced rib length.			
secondary glaucoma	2	eyes	HP:0000501	Glaucoma	NAME (j=0.50)	Glaucoma refers loss of retinal ganglion cells in a characteristic pattern of optic neuropathy usually associated with increased intraocular pressure.	The feature that differentiates glaucoma from other causes of visual morbidity is a characteristic pattern of damage to the optic nerve head. This is most easily recognized at the superior and inferio		
combined hearing loss	2	ears	HP:0000365	Hearing impairment	RELATED (j=0.67)	A decreased magnitude of the sensory perception of sound.	Hearing loss can be categorized by which part of the auditory system is damaged, as conductive hearing loss, sensorineural hearing loss, and mixed hearing loss. Another axis of classification uses the	HP:0000410	Mixed hearing impairment
bowing of the radius	2	skeletal	HP:0002986	Radial bowing	EXACT (j=0.50)	A bending or abnormal curvature of the radius.			
high arched eyebrows	2	craniofacial	HP:0002553	Highly arched eyebrow	RELATED (déclaré par HPO)	Increased height of the central portion of the eyebrow, forming a crescent, semicircular, or inverted U shape.	Most eyebrows have some arch with downturning medially and laterally.		
coloboma of choroid	2	eyes	HP:0000567	Chorioretinal coloboma	RELATED (déclaré par HPO)	Absence of a region of the retina, retinal pigment epithelium, and choroid.			
small hands	2	limbs	HP:0200055	Small hand	RELATED (déclaré par HPO)	Disproportionately small hand.			
posterior urethral valves	2	genitourinary	HP:0010957	Congenital posterior urethral valve	RELATED (déclaré par HPO)	A developmental defect resulting in an obstructing membrane in the posterior male urethra.	Congenital posterior urethral valve is a cause of bladder outlet obstruction in male newborns. It results from a failure of resorption of the caudal end of the Wolffian duct into the primitive cloaca 		
teeth abnormalities	2	mouth	HP:0000164	Abnormality of the dentition	RELATED (déclaré par HPO)	Any abnormality of the teeth.	Any abnormality of the primary (deciduous) or permanent teeth.		
cervical vertebral anomalies	2	skeletal	HP:0003319	Abnormality of the cervical spine	RELATED (déclaré par HPO)	Any abnormality of the cervical vertebral column.			
hyperextensible fingers	2	limbs	HP:0001187	Hyperextensibility of the finger joints	RELATED (déclaré par HPO)	The ability of the finger joints to move beyond their normal range of motion.			
peripheral vascular disease	2	other	HP:0004950	Peripheral arterial stenosis	RELATED (déclaré par HPO)	Narrowing of peripheral arteries with reduction of blood flow to the limbs. This feature may be quantified as an ankle-brachial index of less than 0.9, and may be manifested clinically as claudication.	The ankle-brachial index (ABI; the ratio of systolic blood pressure in the ankle to that in the arm), is a measure of occlusion of peripheral arteries in the leg. Peripheral arterial stenosis may be o		
cystic kidneys	2	genitourinary	HP:0000107	Renal cyst	RELATED (déclaré par HPO)	A fluid filled sac in the kidney.			
protruding ears	2	ears	HP:0000411	Protruding ear	RELATED (déclaré par HPO)	Angle formed by the plane of the ear and the mastoid bone greater than the 97th centile for age (objective); or, outer edge of the helix more than 2 cm from the mastoid at the point of maximum distance (objective).		HP:0000411	pluriel
leg length discrepancy	2	limbs	HP:0100559	Lower limb asymmetry	RELATED (déclaré par HPO)	A difference in length or diameter between the left and right leg.		HP:0100559	Lower limb asymmetry
lipomas	2	skin	HP:0001012	Multiple lipomas	RELATED (déclaré par HPO)	The presence of multiple lipomas (a type of benign tissue made of fatty tissue).	A lipoma is a benign tumor composed of fatty tissue. They are the most common form of soft tissue tumor and are usually soft to the touch, movable, and generally painless (but there is a separate enti	HP:0001012	Multiple lipomas
cleft lip palate	2	mouth	HP:0000202	Orofacial cleft	RELATED (déclaré par HPO)	The presence of a cleft (gap, opening, or groove) in the oral cavity, including cleft of the upper lip and/or cleft of the palate. Cleft of the upper lip is visible as a groove or fissure in the lip, most frequently due to a congenital failure of the maxillary and median nasal processes to fuse. Cle		HP:0000202	Orofacial cleft — parapluie exact de « cleft lip/palate »
slender long bones	2	skeletal	HP:0003100	Slender long bone	RELATED (déclaré par HPO)	Reduced diameter of a long bone.			
tight skin	2	skin	HP:0100679	Lack of skin elasticity	RELATED (déclaré par HPO)				
sparse thin hair	2	skin	HP:0008070	Sparse hair	RELATED (déclaré par HPO)	Reduced density of hairs.	This term applies if the number of hair shafts per unit area is reduced. The term fine hair is used to describe hair with a reduced diameter.		
protrude the tongue	1	mouth							
relatively small stature	1	performance	HP:0004322	Short stature	EXACT (j=0.67)	"A height below that which is expected according to age and gender norms. Although there is no universally accepted definition of short stature, many refer to \""short stature\"" as height more than 2 standard deviations below the mean for age and gender (or below the 3rd percentile for age and gender "			
awkward gait	1	performance							
increased weight in adolescence	1	performance	HP:0004324	Increased body weight	NAME (j=0.50)	Abnormally increased body weight.			
speckling of iris	1	eyes							
peripheral hypoplasia of iris	1	eyes	HP:0007676	Hypoplasia of the iris	NAME (j=0.67)	Congenital underdevelopment of the iris.			
fine lens opacities	1	eyes	HP:0000518	Cataract	EXACT (j=0.67)	A cataract is an opacity or clouding that develops in the crystalline lens of the eye or in its capsule.	Note that some ophthalmologists call any opacity in the lens a cataract, while others restrict the term to lens opacities that impair vision. We use the term to refer to the first meaning (any lens op		
acquired cataracts	1	eyes	HP:0000518	Cataract	NAME (j=0.50)	A cataract is an opacity or clouding that develops in the crystalline lens of the eye or in its capsule.	Note that some ophthalmologists call any opacity in the lens a cataract, while others restrict the term to lens opacities that impair vision. We use the term to refer to the first meaning (any lens op		
overfolding of angulated upper helix	1	ears	HP:0004453	Overfolding of the superior helices	EXACT (j=0.40)	A condition in which the superior portion of the helix is folded over to a greater degree than normal.			
small or absent earlobes	1	ears	HP:0000385	Small earlobe	NAME (j=0.67)	Reduced volume of the earlobe.	All gradations in size of the earlobe may be seen from absent to clearly enlarged compared to average. This finding is highly variable.		
fluid accumulation in middle ear	1	ears	HP:0000370	Abnormality of the middle ear	NAME (j=0.40)	An abnormality of the middle ear.			
hypoplasia of midphalanx of fifth finger	1	limbs	HP:0004220	Short middle phalanx of the 5th finger	EXACT (j=0.60)	Hypoplastic/small middle phalanx of the fifth finger.	Brachymesophalangia-V, a short and broad middle phalanx of the fifth digit, is the most common of all skeletal anomalies of the hand. When this feature appears alone, it is clinically known as brachyd		
single crease	1	limbs	HP:0000954	Single transverse palmar crease	EXACT (j=0.67)	The distal and proximal transverse palmar creases are merged into a single transverse palmar crease.	The presence of a single palmar crease (instead of the two palmar creases that are typically present).		
distal position of palmar axial triradius	1	limbs							
ulnar loop dermal ridge pattern	1	limbs							
open field dermal ridge patterning in hallucal area	1	limbs							
hypoplasia of pelvis	1	skeletal	HP:0500026	Hypoplasia of the musculature of the pelvis	NAME (j=0.67)	Underdevelopment of the musculature of the pelvis.			
outward lateral flare of iliac wings	1	skeletal							
shallow acetabular angle	1	skeletal	HP:0003180	Flat acetabular roof	EXACT (j=0.50)	Flattening of the superior part of the acetabulum, which is a cup-shaped cavity at the base of the hipbone into which the ball-shaped head of the femur fits. The acetabular roof thereby appears horizontal rather than arched, as it normally does.			
dry hyperkeratotic skin	1	skin	HP:0000958	Dry skin	NAME (j=0.67)	Skin characterized by the lack of natural or normal moisture.			
infections in the perigenital area	1	skin							
fine soft and often sparse hair	1	other	HP:0002213	Fine hair	NAME (j=0.40)	Hair that is fine or thin to the touch.			
straight pubic hair at adolescence	1	other	HP:0002225	Sparse pubic hair	NAME (j=0.40)	Reduced number or density of pubic hair.			
relatively small penis	1	genitourinary	HP:0000054	Micropenis	EXACT (j=0.67)	Abnormally small penis. At birth, the normal penis is about 3 cm (stretched length from pubic tubercle to tip of penis) with micropenis less than 2.0-2.5 cm.			
low placement of ears	1	ears	HP:0000369	Low-set ears	EXACT (j=0.50)	Upper insertion of the ear to the scalp below an imaginary horizontal line drawn between the inner canthi of the eye and extending posteriorly to the ear.			
two ossification centers in manubrium sterni	1	skeletal							
funnel or pigeon breast	1	thorax							
gastrointestinal tract anomalies	1	abdomen	HP:0000079	Abnormality of the urinary system	EXACT (j=0.50)	An abnormality of the urinary system.			
incomplete fusion of vertebral arches of lower spine	1	skeletal							
only 11 ribs	1	skeletal	HP:0000878	11 pairs of ribs	NAME (j=0.50)	Presence of only 11 pairs of ribs.	Normally, there are 12 pairs of ribs.		
posterior occipitoatlantal hypermobility	1	skeletal							
hypoplastic posterior arch c1	1	skeletal	HP:0012304	Hypoplastic aortic arch	NAME (j=0.40)	Underdevelopment of the arch of aorta.			
dysplasia of pelvis	1	skeletal							
dysplasia of midphalanx of fifth finger	1	limbs	HP:0004209	Clinodactyly of the 5th finger	EXACT (j=0.40)	Clinodactyly refers to a bending or curvature of the fifth finger in the radial direction (i.e., towards the 4th finger).	Minor degrees of curvature of the small finger are so common as to be considered normal.		
poor moro reflex	1	neuro	HP:0034362	Dull foveal reflex	EXACT (j=0.40)	Reduced brightness of the foveal reflex, which normally is a bright pinpoint of light that is observed to move sideways or up and down in response to movement of the opthalmoscope.			
excess skin on back of neck	1	neck	HP:0005989	Redundant neck skin	EXACT (j=0.60)	Excess skin around the neck, often lying in horizontal folds.	With age and increased vertical growth of the neck, excess nuchal skin may disappear and the neck may become broad or webbed. If the skin folds are vertical or paravertical, the term Neck webbing shou		
postmature birth	1	other							
hypoplasia of skeletal muscle	1	skeletal	HP:0009004	Hypoplasia of the musculature	EXACT (j=0.67)	Underdevelopment of the musculature.			
diminished response to sound	1	neuro	HP:0012154	Anhedonia	EXACT (j=0.50)	Decreased ability or inability to experience, feel, or anticipate pleasure from activities, experiences, or stimuli that are typically found pleasurable by the individual. This may involve diminished enjoyment of previously rewarding experiences (e.g., hobbies, social interactions, or sexual activit			
small oral opening	1	mouth	HP:0000160	Narrow mouth	EXACT (j=0.50)	Distance between the commissures of the mouth more than 2 SD below the mean. Alternatively, an apparently decreased width of the oral aperture (subjective).	The width of the mouth varies with facial movement and must be assessed when the subject has a relaxed (neutral) face. This term replaces microstomia, small oral aperture, and small mouth because the 		
narrow palatal arch	1	mouth							
absence of distal crease on fifth finger	1	limbs	HP:0009244	Distal fifth finger symphalangism	NAME (j=0.43)	Fusion of the terminal/distal and middle phalanges of the 5th finger.			
hemangiomata	1	skin	HP:0001028	Hemangioma	RELATED (déclaré par HPO)	A hemangioma is a benign tumor characterized by blood-filled spaces lined by benign endothelial cells. A hemangioma characterized by large endothelial spaces (caverns) is called a cavernous hemangioma (in contrast to a hemangioma with small endothelial spaces, which is called capillary hemangioma).			
cystic kidney	1	genitourinary	HP:0000107	Renal cyst	RELATED (déclaré par HPO)	A fluid filled sac in the kidney.			
factor vii deficiency	1	other	HP:0008169	Reduced factor VII activity	RELATED (déclaré par HPO)	Reduced activity of coagulation factor VII. Factor VII is part of the extrinsic coagulation pathway, which is initiated at the site of injury in response to the release of tissue factor (fIII). Tissue factor and activated factor VII catalyze the activation of factor X.			
puffy cheeks	1	craniofacial	HP:0000293	Full cheeks	RELATED (déclaré par HPO)	Increased prominence or roundness of soft tissues between zygomata and mandible.			
full lower lip	1	mouth	HP:0000179	Thick lower lip vermilion	RELATED (déclaré par HPO)	Increased thickness of the lower lip, leading to a prominent appearance of the lower lip. The height of the vermilion of the lower lip in the midline is more than 2 SD above the mean. Alternatively, an apparently increased height of the vermilion of the lower lip in the frontal view (subjective).	Normal values for the height of the vermilion are available [Farkas, 1981] but measurements are not commonly used. Most clinicians determine this feature subjectively. The lower lip is typically thick		
idiopathic thrombocytopenic purpura	1	other	HP:0001973	Autoimmune thrombocytopenia	RELATED (déclaré par HPO)	The presence of thrombocytopenia in combination with detection of antiplatelet antibodies.	Autoimmune thrombocytopenia is causes by accelerated destruction of auto-antibody sensitized platelets in the reticular-endothelial system. Common etiologies include idiopathic thrombocytopenic purpur		
wrinkled skin	1	skin	HP:0100678	Premature skin wrinkling	RELATED (déclaré par HPO)	The presence of an increased degree of wrinkling (irregular folds and indentations) of the skin as compared with age-related norms.			
colon diverticula	1	abdomen	HP:0002253	Colonic diverticula	RELATED (déclaré par HPO)	The presence of multiple diverticula of the colon.			
nevi	1	skin	HP:0003764	Nevus	RELATED (déclaré par HPO)	A nevus is a type of hamartoma that is a circumscribed stable malformation of the skin.	The word Nevus derives from the Latin word Knee-vus meaning birthmark or mole.		
short fourth metatarsals	1	limbs	HP:0004689	Short fourth metatarsal	RELATED (déclaré par HPO)	Short fourth metatarsal bone.			
bipartite clavicles	1	skeletal	HP:0006585	Congenital pseudoarthrosis of the clavicle	RELATED (déclaré par HPO)	The two portions of the clavicle (corresponding to the two primary ossification centers of the clavicle) are connected by a fibrous bridge that is contiguous with the periosteum, and a synovial membrane develops, resulting in a clavicle with a bipartite appearance radiographically. Congenital pseuda	In congenital pseudarthrosis of the clavicle, the two primary ossification centers fail to unite, probably due to a disruption of diaphyseal membranous ossification. See PMID:22295044, Figure 1, for t		
chubby cheeks	1	craniofacial	HP:0000293	Full cheeks	RELATED (déclaré par HPO)	Increased prominence or roundness of soft tissues between zygomata and mandible.			
protruding lower lip	1	mouth	HP:0000232	Everted lower lip vermilion	RELATED (déclaré par HPO)	An abnormal configuration of the lower lip such that it is turned outward i.e., everted, with the Inner aspect of the lower lip vermilion (normally opposing the teeth) being visible in a frontal view.	In frontal view, with the face relaxed, the apparent height of the lower lip vermilion is excessive and the lower incisors may be visible. On profile view, the vermilion is more convex than usual. An 		
sweating abnormalities	1	skin	HP:0000971	Abnormal sweat gland morphology	RELATED (déclaré par HPO)	Any structural abnormality of the sweat gland.			
cloudy corneas	1	eyes	HP:0007759	Opacification of the corneal stroma	RELATED (déclaré par HPO)	Reduced transparency of the stroma of cornea.			
tapered fingers	1	limbs	HP:0001182	Tapered finger	RELATED (déclaré par HPO)	The gradual reduction in girth of the finger from proximal to distal.			
hypoxia	1	other	HP:0012418	Hypoxemia	RELATED (déclaré par HPO)	An abnormally low level of blood oxygen.	Note that hypoxemia is defined as a condition where arterial oxygen tension is below normal (80-100mmHg). Hypoxia is defined as the failure of oxygenation at the tissue level. Hypoxia is not measured 		
thymic aplasia hypoplasia	1	other	HP:0010515	Aplasia/Hypoplasia of the thymus	RELATED (déclaré par HPO)	Absence or underdevelopment of the thymus.			
absence of the parotid gland	1	other	HP:0009740	Aplasia of the parotid gland	RELATED (déclaré par HPO)	Absence of the parotid gland.			
missing central incisors	1	mouth	HP:0006289	Agenesis of central incisor	RELATED (déclaré par HPO)	Agenesis of one or more central incisors, i.e., of lower secondary incisor, lower primary incisor, upper secondary incisor, or of upper central primary incisor.			
small or absent adenoids	1	mouth	HP:0040256	Aplastic/Hypoplastic nasopharyngeal adenoids	RELATED (déclaré par HPO)	Absence or underdevelopment of the nasopharyngeal adenoids.			
testicular dysgenesis	1	genitourinary	HP:0008733	Dysplastic testis	RELATED (déclaré par HPO)	A descriptive term denoting a developmental anomaly of the male gonad characterized by architectural disorganization of the testicular parenchyma, which may include irregular or poorly formed seminiferous tubules, a thinned tunica albuginea, and increased or fibrotic interstitial tissue. Macroscopic			
dysseborrheic dermatitis	1	skin	HP:0001051	Seborrheic dermatitis	RELATED (déclaré par HPO)	Seborrheic dermatitis is a form of eczema which is closely related to dandruff. It causes dry or greasy peeling of the scalp, eyebrows, and face, and sometimes trunk.	Dandruff.		
pancreatic cyst	1	abdomen	HP:0001737	Pancreatic cysts	RELATED (déclaré par HPO)	A cyst of the pancreas that possess a lining of mucous epithelium.	Pancreatic cysts are to be distinguished from pancreatic pseudocysts that do not possess a lining of mucous epithelium.		
short limb dwarfism	1	growth	HP:0008873	Disproportionate short-limb short stature	RELATED (déclaré par HPO)	A type of disproportionate short stature characterized by a short limbs but an average-sized trunk.	A type of dwarfism (marked short stature with adult height below 147 cm) in which the limbs are disproportionately affected. Note that brachymelia is a general term referring to shortening of the limb		
delayed mineralization of pubic bone	1	skeletal	HP:0008788	Delayed pubic bone ossification	RELATED (déclaré par HPO)	Delayed maturation and calcification of the pubic bone.			
depressive disorder	1	neuro	HP:0000716	Depression	RELATED (déclaré par HPO)	Frequently experiencing feelings of being down, miserable, and/or hopeless; struggling to recover from these moods; having a pessimistic outlook on the future; feeling a pervasive sense of shame; having a low self-worth; experiencing thoughts of suicide and engaging in suicidal behavior.			
dislocated radial heads	1	limbs	HP:0003083	Dislocated radial head	RELATED (déclaré par HPO)	A dislocation of the head of the radius from its socket in the elbow joint.			
primary pulmonary hypertension	1	heart	HP:0002092	Pulmonary arterial hypertension	RELATED (déclaré par HPO)	Pulmonary hypertension is defined mean pulmonary artery pressure of 25mmHg or more and pulmonary capillary wedge pressure of 15mmHg or less when measured by right heart catheterisation at rest and in a supine position.	Pulmonary hypertension can be secondary to known cardiac, pulmonary, or hepatic disease. If no cause is identifiable, the term primary pulmonary hypertension is used.		
thin sparse hair	1	skin	HP:0008070	Sparse hair	RELATED (déclaré par HPO)	Reduced density of hairs.	This term applies if the number of hair shafts per unit area is reduced. The term fine hair is used to describe hair with a reduced diameter.		
acromegaly	1	endocrine	HP:0033794	Acral overgrowth	RELATED (déclaré par HPO)	Excessive growth of hands and feet (predominantly due to soft tissue swelling). Typical manifestations include shoe size increase, foot enlargement, glove tightness, and hand enlargement.	This term should be used to encode the overgrowth of hands and feet that can be seen in acromegaly, a rare disorder caused by excessive growth hormone production, most commonly from an adenoma of the 		
total alopecia	1	skin	HP:0007418	Alopecia totalis	RELATED (déclaré par HPO)	Loss of all scalp hair.			
poor school performance	1	neuro	HP:0001249	Intellectual disability	RELATED (déclaré par HPO)	The term intellectual disability or intellectual developmental disorder is used to describe significantly sub-average intellectual and adaptive functioning based on clinical assessment and as measured by individually administered, appropriately normed, standardized and validated tests of intellectua	This term should be used for children who are at least five years old. For younger children, consider using the term Global developmental delay (HP:0001263). According to the WHO classification, Disor		
pancreatic insufficiency	1	abdomen	HP:0001738	Exocrine pancreatic insufficiency	RELATED (déclaré par HPO)	Impaired function of the exocrine pancreas associated with a reduced ability to digest foods because of lack of digestive enzymes.			
chronic ear infections	1	ears	HP:0000389	Chronic otitis media	RELATED (déclaré par HPO)	Chronic otitis media refers to fluid, swelling, or infection of the middle ear that does not heal and may cause permanent damage to the ear.			
craniostenosis	1	craniofacial	HP:0001363	Craniosynostosis	RELATED (déclaré par HPO)	Craniosynostosis refers to the premature closure of the cranial sutures. Primary craniosynostosis refers to the closure of one or more sutures due to abnormalities in skull development, and secondary craniosynostosis results from failure of brain growth.	Skull deformity caused by the premature closure of the cranial sutures. Craniostenosis is a deformity of the skull caused by craniosynostosis, with consequent cessation of skull growth.		
poor weight gain								HP:0001508	Failure to thrive — RELATED layperson
failure to gain weight								HP:0001508	Failure to thrive — le candidat propose (Increased body weight) etait l'inverse
liver disease								PARENT:HP:0001392	parapluie
neuropathy								HP:0009830	Peripheral neuropathy
radial ray defects								PARENT:HP:0006501	Aplasia/Hypoplasia of the radius — parapluie, le rayon radial englobe le pouce
congenital hypotonia								HP:0001319	Neonatal hypotonia
cognitive delay								HP:0001263	Global developmental delay
inflammatory bowel disease								HP:0002037	le terme HPO
tall forehead								HP:0000348	High forehead
mental restriction								HP:0001249	infections 2026-09-17 — Intellectual disability — « mental restriction » est la formule du livre
psychomotor restriction								HP:0001263	infections 2026-09-17 — Global developmental delay
growth restriction								HP:0001511	infections 2026-09-17 — Intrauterine growth retardation — contexte fœtal
head circumference less than the fifth percentile								HP:0000252	infections 2026-09-17 — Microcephaly — définition même du terme
enlarged placenta								HP:0006267	infections 2026-09-17 — Large placenta
enlargement of pericerebral spaces								HP:0012704	infections 2026-09-17 — Enlarged subarachnoid space (EXACT HPO)
diffuse porencephalic changes								HP:0002132	infections 2026-09-17 — Porencephalic cyst
micropolygyria								HP:0002126	infections 2026-09-17 — Polymicrogyria — synonyme ancien
ventricular enlargement								HP:0002119	infections 2026-09-17 — Ventriculomegaly — contexte cérébral
periventricular calcifications								HP:0007229	infections 2026-09-17 — Intracerebral periventricular calcifications
calcification in the periventricular region								HP:0007229	infections 2026-09-17 — Intracerebral periventricular calcifications
calcifications								HP:0002514	infections 2026-09-17 — Cerebral calcification — contexte : lésions cérébrales du CMV
calcified lesions								HP:0002514	infections 2026-09-17 — Cerebral calcification — contexte : toxoplasmose, cerveau/tronc/moelle
cerebral white matter perivascular calcifications								HP:0002514	infections 2026-09-17 — Cerebral calcification — le périvasculaire n'a pas de terme, on prend le parent
calcification in the thalamus								HP:0025041	infections 2026-09-17 — Thalamic calcification
necrotic lesions or calcification in the basal ganglia								HP:0002135	infections 2026-09-17 — Basal ganglia calcification — la nécrose n'a pas de terme
dysplastic cortex								HP:0002539	infections 2026-09-17 — Cortical dysplasia
dysplasia of the hippocampus								HP:0025101	infections 2026-09-17 — Dysgenesis of the hippocampus
olfactory bulb lesions								HP:0040327	infections 2026-09-17 — Abnormal morphology of the olfactory bulb
temporal cysts								HP:0010576	infections 2026-09-17 — Intracranial cystic lesion — pas de terme temporal
meningoencephalitis								HP:0002383	infections 2026-09-17 — Infectious encephalitis — contexte : infection congénitale
encephalitis								HP:0002383	infections 2026-09-17 — Infectious encephalitis — contexte : infection congénitale
acute meningitis								HP:0001287	infections 2026-09-17 — Meningitis
basilar meningitis								HP:0001287	infections 2026-09-17 — Meningitis
liver necrosis								HP:0002605	infections 2026-09-17 — Hepatic necrosis
language and behavior disorders								HP:0000708	infections 2026-09-17 — Behavioral abnormality — le langage n'a pas de terme commun
motor dysfunction								HP:0100022	infections 2026-09-17 — Abnormality of movement
cerebral ischemic injury								HP:0002637	infections 2026-09-17 — Cerebral ischemia
ischemic necrosis								HP:0002637	infections 2026-09-17 — Cerebral ischemia — contexte : neuropathologie de la syphilis
skin scars								HP:0000987	infections 2026-09-17 — Atypical scarring of skin — cicatrices de la varicelle congénitale
dermatomally distributed cicatricial lesions								HP:0000987	infections 2026-09-17 — Atypical scarring of skin
dysfunction of the autonomic nervous system								HP:0012332	infections 2026-09-17 — Autonomic dysfunction
vesicular or bullous skin lesions								HP:0200037	infections 2026-09-17 — Skin vesicle
non-immune hydrops								HP:0001790	infections 2026-09-17 — Nonimmune hydrops fetalis
snuffles								HP:0012384	infections 2026-09-17 — Rhinitis — le « snuffles » de la syphilis congénitale
hypoplasia of bones or muscles								HP:0009826	infections 2026-09-17 — Limb undergrowth — contexte : membres (varicelle)
absent or malformed digits								HP:0011297	infections 2026-09-17 — Abnormal digit morphology
esophageal dilation and reflux								HP:0002020	infections 2026-09-17 — Gastroesophageal reflux
chronic anemia								HP:0001903	infections 2026-09-17 — Anemia
acute aplastic crisis								HP:0005510	infections 2026-09-17 — Transient erythroblastopenia — crise aplasique du parvovirus
hemorrhagic infarcts								HP:0002170	infections 2026-09-17 — Intracranial hemorrhage — contexte cérébral (HSV)
neurological findings								NON	infections 2026-09-17 — catégorie, pas un signe
periventricular halo								NON	infections 2026-09-17 — signe échographique sans terme HPO
lenticulostriate vasculopathy								NON	infections 2026-09-17 — pas de terme HPO
ventricular erosion								NON	infections 2026-09-17 — histologie — canal FOETO
radial glial cell loss								NON	infections 2026-09-17 — histologie — canal FOETO
inflammation								NON	infections 2026-09-17 — trop général
necrosis								NON	infections 2026-09-17 — histologie — canal FOETO
cell loss								NON	infections 2026-09-17 — histologie — canal FOETO
subependymal gliosis								NON	infections 2026-09-17 — histologie — canal FOETO
