signe	nom_propose	hpo_id	label_hpo	n	choix
increased risk for cancer, especially osteosarcoma	Neoplasm	HP:0002664	Neoplasm	1	HP:0002669
Increased risk for malignancy	Neoplasm	HP:0002664	Neoplasm	1	HP:0002664
increased risk of falls	Abnormality of balance	HP:0002141	Gait imbalance	1	HP:0002527
Increased risk of fractures	Osteoporosis	HP:0000939	Osteoporosis	1	PARENT:HP:0004349
Increased risk of fractures	Increased susceptibility to fractures	HP:0002659	Increased susceptibility to fractures	1	HP:0002659
increased risk of infection	Recurrent infections	HP:0002719	Recurrent infections	1	HP:0002719
increased risk of infections	Recurrent infections	HP:0002719	Recurrent infections	1	HP:0002719
Increased sensitivity to heat	Hyperthermia	HP:0001945	Fever	1	PARENT:HP:0004370
Increased sensitivity to heat	Heat intolerance	HP:0002046	Heat intolerance	1	HP:0002046
Increased sensitivity to light (photophobia)	Photophobia	HP:0000613	Photophobia	1	HP:0000613
Increased serine, glycine, citrulline, proline, alanine, and glutamine concentrations	Abnormal circulating amino acid concentration	HP:0003112	Abnormal circulating amino acid concentration	1	
Increased serum and/or cerebrospinal fluid lactate	Increased circulating lactate concentration	HP:0002151	Increased circulating lactate concentration	1	PARENT:HP:0002151
increased serum potassium	Hyperkalemia	HP:0002153	Hyperkalemia	1	HP:0002153
Increased serum total cholesterol	Hypercholesterolemia	HP:0003124	Hypercholesterolemia	1	HP:0003124
increased signal in white matter on DWI	Hyperintensity of cerebral white matter on MRI	HP:0030890	Hyperintensity of cerebral white matter on MRI	1	PARENT:HP:0030890
Increased signal intensities of the cerebral white matter	Abnormality of the cerebral white matter	HP:0002500	Abnormal cerebral white matter morphology	1	HP:0030890
increased signal on FLAIR imaging	Hyperintensity of cerebral white matter on MRI	HP:0030890	Hyperintensity of cerebral white matter on MRI	1	HP:0030890
Increased succinate dehydrogenase activity	Increased muscle succinate dehydrogenase staining	HP:0034791	Increased muscle succinate dehydrogenase staining	1	HP:0034791
Increased susceptibility to caries	Dental caries	HP:0000670	Carious teeth	1	HP:0000670
Increased susceptibility to infections	Recurrent infections	HP:0002719	Recurrent infections	1	
increased susceptibility to severe infections	Immunodeficiency	HP:0002721	Immunodeficiency	1	
increased T2/FLAIR signal within the ventrolateral thalami and posterior limb of the internal capsule	Abnormality of the thalamus	HP:0010663	Abnormal thalamus morphology	1	PARENT:HP:0010663
increased T2/FLAIR signal within the ventrolateral thalami and posterior limb of the internal capsule	Abnormality of the internal capsule	HP:0012502	Abnormality of the internal capsule	1	PARENT:HP:0012502
increased tearing	Epiphora	HP:0009926	Epiphora	1	HP:0009926
increased tendon reflexes	Hyperreflexia	HP:0001347	Hyperreflexia	1	HP:0001347
Increased testicular volume	Macroorchidism	HP:0000053	Macroorchidism	1	HP:0000053
Increased tone	Hypertonia	HP:0001276	Hypertonia	1	HP:0001276
Increased upper-lower segment ratio	Increased upper to lower segment ratio	HP:0012774	Increased upper to lower segment ratio	1	HP:0012774
Increased uptake on bone scintigraphy	Elevated bone scintigraphy uptake	HP:6001022	Elevated bone scintigraphy uptake	1	HP:6001022
Increased urinary excretion of cationic amino acids	Aminoaciduria	HP:0003355	Aminoaciduria	1	PARENT:HP:0003355
Increased urinary excretion of electrolytes	Polyuria	HP:0000103	Polyuria	1	HP:0000124
Increased urinary excretion of hydroxyproline	Elevated urinary hydroxyproline	HP:0003080	Hydroxyprolinuria	1	HP:0003080
increased urinary loss of sodium, potassium and chloride	Renal salt wasting	HP:0000127	Renal salt wasting	1	
Increased urinary orotic acid	Oroticaciduria	HP:0003218	Oroticaciduria	1	HP:0003218
increased urinary xylitol + arabitol and ribitol	Elevated urinary carboxylic acid	HP:0040156	Elevated urinary carboxylic acid	1	NON
Increased urine ketones	Ketonuria	HP:0002919	Ketonuria	1	HP:0002919
increased urine sodium	Hypernatriuria	HP:0012605	Hypernatriuria	1	HP:0012605
increased variability in fiber size	Increased variability in muscle fiber size	HP:0003557	Increased variability in muscle fiber diameter	1	HP:0003557
Increased vascular tortuosity	Vascular tortuosity	HP:0004948	Vascular tortuosity	1	HP:0004948
increased vertical and decreased anteroposterior diameter of the calvarium	Abnormal calvaria morphology	HP:0002683	Abnormal calvaria morphology	1	PARENT:HP:0002683
Increased vertical calvarium diameter	Macrocephaly	HP:0000256	Macrocephaly	1	HP:0000262
Increased vestibulo-ocular reflex activity	Abnormal vestibulo-ocular reflex	HP:0007670	Abnormal vestibulo-ocular reflex	1	PARENT:HP:0007670
Increased visual evoked potential latencies	Abnormality of visual evoked potentials	HP:0000649	Abnormality of visual evoked potentials	1	PARENT:HP:0000649
Increased weight and size of the internal organs	Visceromegaly	HP:0003271	Visceromegaly	1	
Increased weight in adolescence	Increased body weight	HP:0004324	Increased body weight	1	HP:0004324
Increased width of mouth	Wide mouth	HP:0000154	Wide mouth	1	HP:0000154
Increased width of the pubic symphysis	Wide pubic symphysis	HP:0003183	Wide pubic symphysis	1	HP:0003183
Increasing metaphyseal abnormalities with cupping transforming into enchondromatous like changes	Metaphyseal dysplasia	HP:0100255	Metaphyseal dysplasia	1	PARENT:HP:0100255
incredibly small mouth	Microstomia	HP:0000160	Narrow mouth	1	
Incurving of forearms	Cubitus valgus	HP:0002967	Cubitus valgus	1	HP:0025317
Incurving of forearms	Cubitus varus	HP:0025317	Cubitus varus	1	HP:0025317
Indentation of the vermilion of the upper lip resembling a ginkgo leaf	Upper lip pit	HP:0100268	Upper lip pit	1	PARENT:HP:0000177
Indistinct speech	Slurred speech	HP:0001350	Slurred speech	1	HP:0001260
induced trichiasis	Trichiasis	HP:0001128	Trichiasis	1	
Induration and edema of subcutaneous tissue	Edema	HP:0000969	Edema	1	HP:0000969
ineffective cough	Cough	HP:0012735	Cough	1	NON
Inequality of limb length	Abnormal limb bone morphology	HP:0002813	Abnormal limb bone morphology	1	HP:0100559
Infant death	Death in infancy	HP:0001522	Death in infancy	1	HP:0001522
infant feeding difficulties / dysphagia	Dysphagia	HP:0002015	Dysphagia	1	HP:0008872
Infant feeding issues	Feeding difficulties	HP:0011968	Feeding difficulties	1	HP:0008872
Infant respiratory distress syndrome	Neonatal respiratory distress	HP:0002643	Neonatal respiratory distress	1	HP:0002643
Infantile blindness	Blindness	HP:0000618	Blindness	1	HP:0000618
Infantile cataracts	Cataract	HP:0000518	Cataract	1	HP:0000518
Infantile epileptic spasm syndrome	Infantile spasms	HP:0012469	Infantile spasms	1	HP:0012469
Infantile epileptic spasms syndrome	Infantile spasms	HP:0012469	Infantile spasms	1	HP:0012469
infantile feeding difficulties	Feeding difficulties in infancy	HP:0008872	Feeding difficulties in infancy	1	HP:0008872
infantile hemiplegia	Hemiplegia	HP:0002301	Hemiplegia	1	HP:0002301
infantile hypercalcemia	Hypercalcemia	HP:0003072	Hypercalcemia	1	
Infantile maculopathy	Abnormal macular morphology	HP:0001103	Abnormal macular morphology	1	HP:0001103
infantile onset hemiplegic attacks	Episodic hemiplegia	HP:0012194	Episodic hemiplegia	1	
infantile onset seizures	Seizures	HP:0001250	Seizure	1	
infantile onset seizures	Infantile spasms	HP:0012469	Infantile spasms	1	
Infantile seizures	Seizures	HP:0001250	Seizure	1	HP:0001250
Infantile stroke	Stroke	HP:0001297	Stroke	1	HP:0001297
Infantile-onset cerebrovascular thrombotic events	Cerebral thrombosis	HP:0005305	Cerebral venous thrombosis	1	
Infantile-onset cholestasis	Cholestasis	HP:0001396	Cholestasis	1	HP:0001396
Infantile-onset diarrhea	Diarrhea	HP:0002014	Diarrhea	1	HP:0002014
infantile-onset epilepsy	Seizure	HP:0001250	Seizure	1	
infantile-onset generalized dystonia	Dystonia	HP:0001332	Dystonia	1	HP:0001332
Infantile-onset glomerulopathy	Glomerulopathy	HP:0100820	Glomerulopathy	1	
infantile-onset horizontal nystagmus	Nystagmus	HP:0000639	Nystagmus	1	HP:0000639
infantile-onset hypotonia	Hypotonia	HP:0001252	Hypotonia	1	HP:0001252
infantile-onset hypotonia	Infantile hypotonia	HP:0008947	Floppy infant	1	HP:0008947
Infantile-onset neurodegeneration	Neurodegeneration	HP:0002180	Neurodegeneration	1	
infection-triggered seizures	Infection-related seizure	HP:0032892	Infection-related seizure	1	
infections	Recurrent infections	HP:0002719	Recurrent infections	1	HP:0002719
Infections in the perigenital area	Recurrent infections	HP:0002719	Recurrent infections	1	HP:0001581
infections with opportunistic organisms	Opportunistic infections	HP:0031690	Opportunistic infection	1	HP:0031690
Infections with unusual organisms	Recurrent infections	HP:0002719	Recurrent infections	1	HP:0031690
Infectious skin disease	Unusual skin infection	HP:0032162	Unusual skin infection	1	HP:0032162
inferior cerebellar dysplasia	Cerebellar hypoplasia	HP:0001321	Cerebellar hypoplasia	1	
Inferior hypoplasia of iliac wings	Hypoplastic iliac wing	HP:0002866	Hypoplastic iliac wing	1	HP:0002866
Inferior oblique overaction	Inferior oblique muscle overaction	HP:0025599	Inferior oblique muscle overaction	1	HP:0025599
inferior vermis agenesis	Agenesis of the cerebellar vermis	HP:0002335	Agenesis of cerebellar vermis	1	
Infertility and/or recurrent fetal loss	Infertility	HP:0000789	Infertility	1	HP:0000789+HP:0200067
Infertility in male patients	Male infertility	HP:0003251	Male infertility	1	HP:0003251
inflammation in the meninges	Meningitis	HP:0001287	Meningitis	1	
Inflammatory arthritis	Arthritis	HP:0001369	Arthritis	1	HP:0001369
Inflammatory bowel disease-like illness	Autoimmunity	HP:0002960	Autoimmunity	1	HP:0002037
Inflammatory cell infiltration	Myocardial immune cell infiltration	HP:0031321	Myocardial immune cell infiltration	1	
inflammatory eczematous rash	Eczematoid dermatitis	HP:0000964	Eczematoid dermatitis	1	HP:0000964
inflammatory lesions on distal extremities	Skin ulcer	HP:0200042	Skin ulcer	1	
Infra-acetabular axe-cut notches	Abnormal acetabulum morphology	HP:0003170	Abnormal acetabulum morphology	1	NON
Infra-orbital skin crease	Infra-orbital crease	HP:0100876	Infra-orbital crease	1	HP:0100876
infracardiac TAPVD	Total anomalous pulmonary venous connection	HP:0005160	Total anomalous pulmonary venous return	1	
infraduction of the affected eye	Abnormal eye physiology	HP:0012373	Abnormal eye physiology	1	
infraorbital fullness	Periorbital fullness	HP:0000629	Periorbital fullness	1	HP:0000629
Infraorbital hypoplasia	Midface hypoplasia	HP:0011800	Midface retrusion	1	HP:0000327
Infundibulum hypoplasia	Abnormal pituitary stalk morphology	HP:0034977	Abnormal pituitary stalk morphology	1	HP:0034977
inguinal gonads	Cryptorchidism	HP:0000028	Cryptorchidism	1	
Inguinal, umbilical, or epigastric hernias	Inguinal hernia	HP:0000023	Inguinal hernia	1	HP:0000023
Inguinal, umbilical, or epigastric hernias	Umbilical hernia	HP:0001537	Umbilical hernia	1	HP:0001537
inhomogeneous liver parenchyma	Abnormal liver parenchyma morphology	HP:0030146	Abnormal liver parenchyma morphology	1	HP:0030146
initial difficulty with hand function	Abnormality of movement	HP:0100022	Abnormality of movement	1	NON
Initial hypertonicity	Hypertonia	HP:0001276	Hypertonia	1	HP:0001276
initial poor feeding and thriving	Poor feeding	HP:0011968	Feeding difficulties	1	
Injuries to the inside of the teeth/gums	Abnormal oral mucosa morphology	HP:0011830	Abnormal oral mucosa morphology	1	HP:0011830
injury to the bilateral lentiform nuclei	Abnormality of the basal ganglia	HP:0002134	Abnormal basal ganglia morphology	1	HP:0002134
Inner ear and petrous bone anomalies	Abnormality of the inner ear	HP:0000359	Abnormality of the inner ear	1	HP:0000359
Inner ear defect	Abnormality of the inner ear	HP:0000359	Abnormality of the inner ear	1	HP:0000359
inner retinal dystrophy	Retinal dystrophy	HP:0000556	Retinal dystrophy	1	
Inner-ear malformations	Abnormal inner ear morphology	HP:0011390	Abnormal inner ear morphology	1	HP:0011390
insatiable appetite	Hyperphagia	HP:0002591	Polyphagia	1	HP:0002591
insidiously progressive bilateral leg stiffness affecting gait	Spastic paraplegia	HP:0001258	Spastic paraplegia	1	PARENT:HP:0002061
insidiously progressive bilateral lower-limb gait spasticity	Spastic paraplegia	HP:0001258	Spastic paraplegia	1	PARENT:HP:0002061
insidiously progressive bilateral lower-limb spasticity	Spastic paraparesis	HP:0002313	Spastic paraparesis	1	PARENT:HP:0002061
inspiratory respiratory failure	Respiratory failure	HP:0002878	Respiratory failure	1	
Instability of heart rate	Autonomic dysfunction	HP:0012332	Abnormal autonomic nervous system physiology	1	HP:0012332
Instability of respiration	Abnormal pattern of respiration	HP:0002793	Abnormal pattern of respiration	1	HP:0002793
Instability of the craniocervical junction	Cervical instability	HP:0008462	Cervical instability	1	HP:0008462
Instability of the upper cervical spine	Atlantoaxial instability	HP:0003467	Atlantoaxial instability	1	HP:0003467
insufficiency fractures	Pathologic fracture	HP:0002756	Pathologic fracture	1	HP:0002756
Insufficiency of cardiac valves	Atrioventricular valve regurgitation	HP:0034376	Atrioventricular valve regurgitation	1	PARENT:HP:0031650
Insulin resistance / diabetes mellitus	Diabetes mellitus	HP:0000819	Diabetes mellitus	1	HP:0000819
Insulin resistance / diabetes mellitus	Insulin resistance	HP:0000855	Insulin resistance	1	HP:0000855
insulin resistance / type 2 diabetes mellitus	Insulin resistance	HP:0000855	Insulin resistance	1	HP:0000855
insulin-insensitive type 2 diabetes mellitus	Type II diabetes mellitus	HP:0005978	Type II diabetes mellitus	1	HP:0005978
Intellectual and psychomotor retardation	Intellectual disability	HP:0001249	Intellectual disability	1	HP:0001249
intellectual deficits	Intellectual disability	HP:0001249	Intellectual disability	1	
Intellectual delay	Intellectual disability	HP:0001249	Intellectual disability	1	HP:0001249
Intellectual developmental disability	Intellectual disability	HP:0001249	Intellectual disability	1	
intellectual developmental disorder	Intellectual disability	HP:0001249	Intellectual disability	1	
intellectual disability / developmental delay	Intellectual disability	HP:0001249	Intellectual disability	1	HP:0001249
intellectual disability / developmental delay	Developmental delay	HP:0001263	Global developmental delay	1	HP:0001263
Intellectual disability and developmental delay	Intellectual disability	HP:0001249	Intellectual disability	1	HP:0001249
Intellectual disability and developmental delay	Developmental delay	HP:0001263	Global developmental delay	1	HP:0001263
intellectual disability of varying severity	Intellectual disability	HP:0001249	Intellectual disability	1	HP:0001249
Intellectual disability, typically in the mild-to-moderate range	Intellectual disability	HP:0001249	Intellectual disability	1	HP:0001249
Intense freckling	Freckling	HP:0001480	Freckling	1	HP:0001480
Intense local pain	Pain	HP:0012531	Pain	1	HP:0012531
Intense pain	Pain	HP:0012531	Pain	1	HP:0012531
intense redness and inflammation	Erythema	HP:0010783	Erythema	1	HP:0010783
intentional tremor	Intention tremor	HP:0002080	Intention tremor	1	HP:0002080
Interatrial communication	Atrial septal defect	HP:0001631	Atrial septal defect	1	
Interaxial polydactyly	Polydactyly	HP:0010442	Polydactyly	1	PARENT:HP:0011297
intercrural webs	Intercrural pterygium	HP:0009757	Intercrural pterygium	1	HP:0009757
Interdigital webbing	Syndactyly	HP:0001159	Syndactyly	1	HP:0001159
Interhemispheric lipoma	Midline central nervous system lipomas	HP:0006866	Midline central nervous system lipomas	1	
Interlobular bile duct proliferation	Bile duct proliferation	HP:0001408	Bile duct proliferation	1	
intermediate hepatic phenotype	Hepatic failure	HP:0001399	Hepatic failure	1	
Intermittent abdominal distention	Abdominal distension	HP:0003270	Abdominal distention	1	HP:0003270
intermittent acidosis	Episodic metabolic acidosis	HP:0004911	Episodic metabolic acidosis	1	HP:0004911
intermittent apnea	Apnea	HP:0002104	Apnea	1	HP:0002104
intermittent cheek swelling	Facial edema	HP:0000282	Facial edema	1	
Intermittent contracture of facial and oropharyngeal muscles when crying or being handled	Facial myokymia	HP:0000317	Facial myokymia	1	HP:0011468
intermittent extensor plantar responses	Babinski sign	HP:0003487	Babinski sign	1	HP:0003487
intermittent high fever	Fever	HP:0001945	Fever	1	PARENT:HP:0001945
intermittent high fever	Intermittent fever	HP:0001954	Recurrent fever	1	HP:0001954
intermittent hypoglycemia	Hypoglycemia	HP:0001943	Hypoglycemia	1	HP:0001943
Intermittent neutropenia	Neutropenia	HP:0001875	Decreased total neutrophil count	1	HP:0001875
intermittent rhabdomyolysis	Rhabdomyolysis	HP:0003201	Rhabdomyolysis	1	HP:0003201
Intermittent strabismus	Strabismus	HP:0000486	Strabismus	1	HP:0000486
Intermittent swelling of affected joints	Joint swelling	HP:0001386	Joint swelling	1	HP:0001386
intermittent vaginal bleeding	Abnormal vaginal bleeding	HP:0034263	Abnormal vaginal bleeding	1	
intermittent vomiting	Episodic vomiting	HP:0002572	Episodic vomiting	1	HP:0002572
internal cortical thickening	Abnormal cortical bone morphology	HP:0003103	Abnormal cortical bone morphology	1	
internal nerve sheath tumors	Schwannoma	HP:0100008	Schwannoma	1	HP:0100008
internal notch of the 2nd metacarpal	Abnormal 2nd metacarpal morphology	HP:0010010	Abnormal 2nd metacarpal morphology	1	PARENT:HP:0010010
Internal notch of the second metacarpal	Abnormal metacarpal morphology	HP:0005916	Abnormal metacarpal morphology	1	PARENT:HP:0005916
internal nuclei in myofibers	Internally nucleated skeletal muscle fibers	HP:0031237	Internally nucleated skeletal muscle fibers	1	HP:0031237
internal strabismus	Esotropia	HP:0000565	Esotropia	1	
Interpediculate distance narrowing of the lumbar spine	Lumbar interpedicular narrowing	HP:0008486	Lumbar interpedicular narrowing	1	HP:0008486
interphalangeal joints contractures with functional symphalangism	Joint contracture	HP:0034392	Joint contracture	1	PARENT:HP:0034392
Interrupted eyebrows	Sparse lateral eyebrows	HP:0005338	Sparse lateral eyebrow	1	HP:0005338
Interruption and hypoplasia of the aortic arch	Interrupted aortic arch	HP:0011611	Interrupted aortic arch	1	PARENT:HP:0011611
interruption of the inferior vena cava with azygos continuation	Atrial septal defect	HP:0001631	Atrial septal defect	1	
intersexual genitalia	Ambiguous genitalia	HP:0000062	Ambiguous genitalia	1	
Interstitial cell hyperplasia, gonads	Hyperplasia of the Leydig cells	HP:0010791	Hyperplasia of the Leydig cells	1	HP:0010791
Interstitial fibrosis	Pulmonary fibrosis	HP:0002206	Pulmonary fibrosis	1	HP:0032948
Interstitial fibrosis	Renal interstitial fibrosis	HP:0032948	Renal interstitial fibrosis	1	HP:0032948
Interstitial fibrosis of the kidneys	Renal interstitial fibrosis	HP:0032948	Renal interstitial fibrosis	1	HP:0032948
Interstitial pulmonary fibrosis	Interstitial lung disease	HP:0006530	Abnormal pulmonary interstitial morphology	1	HP:0002206
intertriginous freckling	Axillary freckling	HP:0000997	Axillary freckling	1	HP:0000997
intertriginous freckling	Freckling	HP:0001480	Freckling	1	HP:0001480
interventricular septal hypertrophy	Hypertrophic cardiomyopathy	HP:0001639	Hypertrophic cardiomyopathy	1	HP:0001714
intestinal deposits	Abnormality of the intestine	HP:0002242	Abnormal intestine morphology	1	HP:0011034
Intestinal diverticula	Small bowel diverticula	HP:0002256	Small bowel diverticula	1	PARENT:HP:0002244
Intestinal dysfunction	Functional abnormality of the gastrointestinal tract	HP:0012719	Functional abnormality of the gastrointestinal tract	1	
Intestinal dysmotility	Small intestinal dysmotility	HP:0012850	Small intestinal dysmotility	1	PARENT:HP:0002579
intestinal fragility	Abnormal intestine morphology	HP:0002242	Abnormal intestine morphology	1	
intestinal intussusception	Intussusception	HP:0002576	Intussusception	1	HP:0002576
Intestinal malformation	Abnormal intestine morphology	HP:0002242	Abnormal intestine morphology	1	
Intestinal malrotation and nonfixation	Intestinal malrotation	HP:0002566	Intestinal malrotation	1	HP:0002566
Intestinal malrotation and/or obstruction	Intestinal malrotation	HP:0002566	Intestinal malrotation	1	
Intestinal malrotation and/or obstruction	Intestinal obstruction	HP:0005214	Intestinal obstruction	1	
Intestinal mucosal inflammation	Intestinal inflammation	HP:4000055	Intestinal inflammation	1	HP:4000055
Intestinal myofibromata/smooth muscle hamartomas	Hamartoma	HP:0010566	Hamartoma	1	HP:0010566
Intestinal necrosis	Abnormal intestine morphology	HP:0002242	Abnormal intestine morphology	1	PARENT:HP:0002242
Intestinal nonrotation	Intestinal malrotation	HP:0002566	Intestinal malrotation	1	HP:0002566
Intestinal rupture	Intestinal perforation	HP:0031368	Intestinal perforation	1	HP:0031368
intestinal tubes protruding from the umbilicus	Omphalocele	HP:0001539	Omphalocele	1	
Intestinal ulcers	Gastrointestinal ulcer	HP:0034274	Gastrointestinal ulcer	1	HP:0034274
Intestinal wall thickening	Abnormal intestine morphology	HP:0002242	Abnormal intestine morphology	1	
Intimal thickening in the coronary vessels	Coronary artery stenosis	HP:0005145	Coronary artery stenosis	1	HP:0005292
Intra ocular calcification	Ectopic calcification	HP:0010766	Ectopic calcification	1	HP:0010766
Intra-abdominal cystic lymphangioma	Lymphangioma	HP:0100764	Lymphangioma	1	
intra-abdominal fetal mass	Abdominal mass	HP:0031500	Abdominal mass	1	
Intra-uterine fractures	Bone fracture	HP:0020110	Bone fracture	1	
intra-uterine growth restriction	Intrauterine growth retardation	HP:0001511	Intrauterine growth retardation	1	
intracardiac defect	Congenital heart defect	HP:0001627	Abnormal heart morphology	1	
intracardiac defects	Abnormal heart morphology	HP:0001627	Abnormal heart morphology	1	PARENT:HP:0001627
Intracellular lipid accumulation	Increased muscle lipid content	HP:0009058	Increased muscle lipid content	1	HP:0009058
Intracerebellar cysts	Cerebellar cyst	HP:0002350	Cerebellar cyst	1	HP:0002350
Intracerebral aneurysm	Vascular dilatation	HP:0002617	Vascular dilatation	1	PARENT:HP:0009145
intracerebral cysts	Hypodontia	HP:0000668	Hypodontia	1	HP:0030724
intracorneal lens	Lens dislocation	HP:0001083	Ectopia lentis	1	PARENT:HP:0000517
Intracranial arterial tortuosity	Arterial tortuosity	HP:0005116	Arterial tortuosity	1	PARENT:HP:0004948
Intracranial bleeding in the absence of major trauma	Intracranial hemorrhage	HP:0002170	Intracranial hemorrhage	1	HP:0002170
intracranial bleeds	Intracranial hemorrhage	HP:0002170	Intracranial hemorrhage	1	
intracranial cyst	Central nervous system cyst	HP:0030724	Central nervous system cyst	1	HP:0030724
Intracranial cysts	Central nervous system cyst	HP:0030724	Central nervous system cyst	1	HP:0030724
intracranial dissection	Arterial dissection	HP:0005294	Arterial dissection	1	HP:0005294
Intracranial vasculopathy	Abnormal cerebral vascular morphology	HP:0100659	Abnormal cerebral vascular morphology	1	HP:0100659
intractable acidosis	Metabolic acidosis	HP:0001942	Metabolic acidosis	1	
intractable epilepsy	Epileptic encephalopathy	HP:0200134	Epileptic encephalopathy	1	HP:0200134
Intractable epileptic spasms	Epileptic spasms	HP:0011097	Epileptic spasm	1	
intractable hypoalbuminemia	Hypoalbuminemia	HP:0003073	Hypoalbuminemia	1	
intractable multifocal seizures	Multifocal seizures	HP:0031165	Multifocal seizures	1	
intractable pulmonary hypertension	Pulmonary arterial hypertension	HP:0002092	Pulmonary arterial hypertension	1	
intractable respiratory failure	Respiratory failure	HP:0002878	Respiratory failure	1	
intractable right heart failure	Right ventricular failure	HP:0001708	Right ventricular failure	1	
intractable vomiting	Vomiting	HP:0002013	Vomiting	1	HP:0002013
Intractable/chronic diarrhea beginning in infancy	Intractable diarrhea	HP:0002041	Intractable diarrhea	1	HP:0002041
Intradermal nevi	Nevus	HP:0003764	Nevus	1	PARENT:HP:0011355
Intraductal papillary mucinous neoplasms	Pancreatic intraductal papillary mucinous neoplasm	HP:6000657	Pancreatic intraductal papillary mucinous neoplasm	1	HP:6000657
Intrahepatic cholestasis of pregnancy	Intrahepatic cholestasis	HP:0001406	Intrahepatic cholestasis	1	
Intrahepatic hemorrhage	Abnormal bleeding	HP:0001892	Abnormal bleeding	1	HP:0001892
Intrahepatocyte cholestasis	Cholestasis	HP:0001396	Cholestasis	1	
intralobular cholestasis	Cholestasis	HP:0001396	Cholestasis	1	
intranuclear rod bodies	Muscle fiber intranuclear inclusion bodies	HP:0100304	Muscle fiber intranuclear inclusion bodies	1	
Intraocular inflammation	Uveitis	HP:0000554	Uveitis	1	PARENT:HP:0000554
intraoral bands	Oral synechia	HP:0010285	Oral synechia	1	HP:0010285
Intraoral fibromas	Fibroma	HP:0010614	Fibroma	1	HP:0010614
Intraoral fibrous band	Oral synechia	HP:0010285	Oral synechia	1	HP:0010285
intraoral filiform bands	Oral synechia	HP:0010285	Oral synechia	1	
intraorbital tumor	Neoplasm of the eye	HP:0100012	Neoplasm of the eye	1	
intrapericardial teratoma	Teratoma	HP:0009792	Teratoma	1	
Intraretinal foveal schisis	Macular schisis	HP:0011511	Macular schisis	1	HP:0011511
Intraretinal pigmentation	Abnormal retinal pigmentation	HP:0007703	Abnormal retinal pigmentation	1	HP:0007703
Intraspinal lipoma	Spinal lipoma	HP:6000590	Spinal lipoma	1	HP:6000590
intrauterine cardiomyopathy	Cardiomyopathy	HP:0001638	Cardiomyopathy	1	
intrauterine fetal demise	Prenatal death	HP:0034241	Prenatal death	1	
intrauterine growth deficiency	Failure to thrive	HP:0001508	Failure to thrive	1	HP:0001511
Intravascular clotting problems	Disseminated intravascular coagulation	HP:0005521	Disseminated intravascular coagulation	1	PARENT:HP:0001977
intraventricular conduction defects	Cardiac conduction abnormality	HP:0031546	Cardiac conduction abnormality	1	HP:0031546
Intraventricular septations	Abnormal cerebral ventricle morphology	HP:0002118	Abnormal cerebral ventricle morphology	1	
Intravesical ureterocele	Ureterocele	HP:0000070	Ureterocele	1	HP:0000070
Inturning of the feet and toes	Clubfoot	HP:0001762	Talipes equinovarus	1	HP:0001762
inversion of the lid margin and lashes	Entropion	HP:0000621	Entropion	1	
Inverted inner canthal fold	Epicanthus inversus	HP:0000537	Epicanthus inversus	1	HP:0000537
inverted right foot	Talipes equinovarus	HP:0001762	Talipes equinovarus	1	
inverted V shape to palate	High arched palate	HP:0000218	High palate	1	HP:0000218
Inverted V-shaped growth plates of radii and ulna	Abnormal growth plate morphology	HP:0025368	Abnormal growth plate morphology	1	HP:0025368
Invisible urinary bladder	Aplasia/Hypoplasia of the bladder	HP:0010476	Aplasia/Hypoplasia of the bladder	1	
involuntary shaking of the upper extremities bilaterally	Tremor	HP:0001337	Tremor	1	
Involuntary spontaneous myoclonic jerks	Myoclonus	HP:0001336	Myoclonus	1	HP:0001336
involuntary tongue protrusion on attempted swallowing	Tongue protrusion	HP:0010808	Protruding tongue	1	HP:0002310
Involuntary, action-induced myoclonic jerks	Myoclonus	HP:0001336	Myoclonus	1	HP:0001336
Involved bone may be relatively short	Short long bone	HP:0003026	Short long bone	1	HP:0003026
Involvement of all four limbs	Abnormality of the limbs	HP:0040064	Abnormality of limbs	1	HP:0040064
involvement of caudate bodies	Abnormality of the caudate nucleus	HP:0002339	Abnormal caudate nucleus morphology	1	
Involvement of digits II–IV	Abnormality of the hand	HP:0001155	Abnormality of the hand	1	PARENT:HP:0001155
Involvement of heart valves	Abnormal heart valve morphology	HP:0001654	Abnormal heart valve morphology	1	HP:0001654
involvement of lentiform nuclei	Abnormal putamen morphology	HP:0031982	Abnormal putamen morphology	1	
Involvement of lower limbs	Abnormality of the lower limb	HP:0002814	Abnormality of the lower limb	1	HP:0002814
involvement of proximal and axial muscles	Proximal muscle weakness	HP:0003701	Proximal muscle weakness	1	
involvement of the brain	Abnormality of the brain	HP:0012443	Abnormal brain morphology	1	
Involvement of the extraocular muscles	Abnormality of extraocular muscles	HP:0008049	Abnormality of the extraocular muscles	1	HP:0008049
involvement of the heart	Abnormality of the heart	HP:0001627	Abnormal heart morphology	1	
involvement of the kidney	Abnormality of the kidney	HP:0000077	Abnormality of the kidney	1	
Involvement of the long bones and pelvis	Abnormal long bone morphology	HP:0011314	Abnormal long bone morphology	1	PARENT:HP:0011842
involving proximal and distal muscle groups	Muscle weakness	HP:0001324	Muscle weakness	1	
Inward-bowing tibiae	Genu varum	HP:0002970	Genu varum	1	HP:0002970
ipsilateral coronoid enlargement	Abnormal mandible coronoid process morphology	HP:3000078	Abnormal mandible coronoid process morphology	1	
ipsilateral hand deformity	Hand deformity	HP:0001155	Abnormality of the hand	1	
